No.;Type;E(HOMO);E(LUMO);He8_steric;PA;Q(B);BE(B);P-B;DP-A(B);DA-P-A(B);Q(Au);BE(Au);Au-Cl;Au-P;DP-A(Au);DA-P-A(Au);Q(Pd);BE(Pd);Pd-Cl trans;P-Pd;DP-A(Pd);DA-P-A(Pd);Q(Pt);BE(Pt);P-Pt;DP-A(Pt);DA-P-A(Pt);<(H3P)Pt(PH3);S4';PC1;PC2;PC3;PC4
183;R;-0.1827;-0.0424;16.78;247.3;-0.666;35.36;1.94;-0.02;3.0;-0.31;73.62;2.329;2.283;-0.02;3.5;-1.265;28.57;2.375;2.305;0.001;2.4;-0.046;9.65;2.36;0.007;-0.3;104.5;36.5;2.898;-0.516;0.156;-0.851
184;R;-0.1741;-0.0575;24.9;256.21;-0.676;37.14;1.961;-0.01;2.1;-0.322;74.09;2.325;2.303;-0.009;2.7;-1.239;37.46;2.375;2.354;0.0;0.8;-0.029;7.1;2.385;0.028;-0.9;105.9;-0.4;4.416;-2.618;-0.684;0.442
185;R;-0.165;-0.0543;25.33;249.86;-0.655;33.84;1.946;-0.016;2.4;-0.288;70.48;2.323;2.284;-0.016;3.3;-1.242;30.74;2.37;2.304;0.002;0.7;-0.031;5.42;2.371;0.015;-0.6;105.3;32.6;2.66;-2.058;-0.238;-0.766
186;Ar;-0.1725;-0.0647;20.42;249.13;-0.635;31.2;1.95;-0.007;1.6;-0.292;70.04;2.33;2.286;-0.008;2.5;-1.214;27.31;2.382;2.307;0.013;-0.5;0.019;6.9;2.359;0.015;-1.4;107.2;37.4;2.085;-3.552;-0.582;0.52
187;R;-0.1679;-0.0749;29.03;260.23;-0.687;36.66;1.976;-0.002;1.1;-0.318;72.4;2.324;2.322;-0.002;2.0;-1.24;29.98;2.371;2.347;0.019;-1.6;-0.037;5.94;2.447;0.031;-2.2;105.7;-4.7;5.242;-5.101;-1.708;1.048
188;R;-0.1748;-0.0708;15.95;254.78;-0.678;38.39;1.951;-0.015;2.4;-0.322;74.52;2.323;2.291;-0.012;3.0;-1.247;31.68;2.374;2.317;0.011;-1.1;-0.042;13.69;2.372;0.01;-1.1;107.1;18.5;3.023;-1.59;-0.974;1.179
189;Hal;-0.28188;-0.03544;1.5;163.6;-0.68;31.1;1.867;-0.025;2.2;-0.262;56.86;2.269;2.213;-0.027;2.1;-1.24;37.0;2.343;2.192;-0.01;-0.4;0.026;22.5;2.234;0.006;-1.5;108.3;62.0;-8.032;1.521;-0.816;0.973
190;Hal;-0.27201;-0.1087;2.2;171.9;-0.52;23.4;1.905;-0.037;1.5;-0.136;49.78;2.273;2.231;-0.04;1.0;-1.06;29.9;2.334;2.228;0.002;-2.0;0.263;22.0;2.256;0.043;-3.1;110.6;48.3;-10.975;-4.948;-0.424;-0.966
191;Hal;-0.2676;-0.1505;3.1;168.32;-0.445;20.11;1.925;-0.041;0.9;-0.084;47.76;2.276;2.237;-0.037;0.6;-0.949;30.31;2.332;2.24;0.02;-3.1;0.393;27.05;2.269;0.086;-4.0;113.7;45.1;-13.012;-8.832;-0.224;-1.059
192;Hal;-0.2493;-0.1657;4.12;180.29;-0.431;20.09;1.941;-0.042;0.5;-0.094;49.86;2.281;2.243;-0.042;0.3;-0.921;30.72;2.334;2.248;0.025;-3.5;0.408;27.42;2.301;0.095;-4.0;116.2;37.9;-12.392;-9.795;-0.402;-0.743
193;Hal;-0.24125;-0.04621;1.63;181.38;-0.668;37.75;1.861;-0.028;2.0;-0.273;64.2;2.282;2.214;0.001;1.8;-1.273;43.18;2.353;2.188;-0.019;-0.1;0.006;23.9;2.237;-0.005;-1.6;107.4;60.4;-6.031;2.818;-1.404;2.488
194;Hal;-0.2282;-0.02819;1.17;196.59;-0.692;38.77;1.872;-0.028;2.5;-0.289;66.66;2.288;2.228;-0.064;2.7;-1.284;41.16;2.36;2.205;-0.014;0.3;-0.001;22.12;2.251;-0.001;-1.1;107.4;55.7;-4.465;3.744;-1.787;0.214
195;Hal;-0.2613;-0.0198;1.74;188.16;-0.681;32.26;1.874;-0.027;2.7;-0.272;60.1;2.28;2.224;-0.029;2.6;-1.277;36.16;2.352;2.214;-0.017;-1.2;-0.006;21.13;2.258;0.0;-2.4;108.4;56.3;-5.93;2.06;-1.32;0.826
196;Hal;-0.2233;-0.0299;2.21;200.31;-0.698;38.66;1.873;-0.026;2.9;-0.295;67.41;2.29;2.232;-0.027;3.1;-1.281;41.55;2.359;2.208;-0.012;0.8;-0.012;24.71;2.262;0.001;-0.9;107.0;56.0;-3.877;3.429;-0.982;1.098
197;Hal;-0.2138;-0.0118;2.53;201.42;-0.705;35.23;1.887;-0.028;3.0;-0.292;64.84;2.289;2.235;-0.029;2.9;-1.269;35.92;2.354;2.221;-0.014;0.7;-0.002;21.57;2.269;0.002;-0.5;107.5;53.9;-3.749;2.658;-0.827;0.344
198;Hal;-0.2168;-0.0288;2.45;205.9;-0.696;37.6;1.882;-0.025;2.8;-0.29;67.6;2.293;2.234;-0.027;3.2;-1.238;38.98;2.36;2.228;-0.009;0.1;0.021;20.7;2.263;0.005;-0.9;107.1;54.6;-3.555;2.326;-1.029;0.637
199;Hal;-0.229;-0.0764;2.41;207.06;-0.697;38.05;1.876;-0.026;3.2;-0.291;67.3;2.292;2.233;-0.028;3.1;-1.256;39.6;2.355;2.211;-0.01;0.8;0.023;22.2;2.255;0.004;-1.0;107.1;56.2;-4.228;2.594;-0.679;0.579
200;Hal;-0.25416;-0.09901;1.91;178.82;-0.544;27.48;1.892;-0.028;2.9;-0.168;54.36;2.279;2.234;0.081;1.9;-1.098;35.42;2.338;2.221;0.0;-0.1;0.194;21.89;2.259;0.021;-1.7;110.3;59.6;-8.743;-3.805;2.239;3.123
201;Hal;-0.24223;-0.08417;2.37;192.24;-0.571;29.51;1.899;-0.03;2.4;-0.184;57.32;2.286;2.241;0.013;2.2;-1.127;33.62;2.344;2.236;-0.002;-0.5;0.171;20.17;2.263;0.022;-1.8;108.8;52.3;-7.229;-2.699;0.603;0.878
202;Hal;-0.26;-0.0824;2.13;186.34;-0.562;25.7;1.899;-0.038;2.0;-0.175;53.22;2.281;2.235;-0.04;1.9;-1.138;28.83;2.342;2.24;-0.017;-2.9;0.188;17.88;2.268;0.034;-1.9;110.5;46.4;-8.67;-2.914;-0.639;-1.05
203;Hal;-0.2301;-0.0781;4.29;196.58;-0.587;27.12;1.914;-0.043;2.1;-0.195;56.84;2.287;2.245;-0.043;2.1;-1.133;28.57;2.344;2.255;-0.009;-1.1;0.161;17.07;2.278;0.028;-1.8;108.9;44.9;-6.738;-2.506;-0.692;-1.738
204;Hal;-0.2303;-0.0784;3.73;202.65;-0.583;29.74;1.907;-0.03;2.3;-0.199;59.73;2.293;2.249;-0.034;2.6;-1.135;31.58;2.348;2.248;0.0;-1.0;0.157;18.3;2.274;0.029;-2.2;108.1;50.6;-6.106;-2.493;-0.381;-0.91
205;R;-0.23772;-0.05245;1.86;188.32;-0.606;35.62;1.878;-0.02;5.7;-0.264;63.85;2.286;2.233;-0.055;5.9;-1.258;40.28;2.358;2.216;-0.01;4.2;-0.001;18.31;2.269;0.0;1.3;108.2;58.3;-4.525;3.502;3.505;-1.058
206;R;-0.20451;-0.01841;2.51;218.13;-0.688;41.0;1.893;-0.025;4.5;-0.304;70.8;2.3;2.248;0.008;3.9;-1.314;41.07;2.37;2.229;-0.017;2.8;-0.029;18.37;2.285;-0.002;0.6;107.4;47.1;-1.019;3.63;1.113;1.616
207;OR/OAr;-0.2328;-0.012;2.54;206.27;-0.708;35.08;1.885;-0.031;2.8;-0.301;65.4;2.293;2.238;-0.033;2.9;-1.249;33.17;2.356;2.228;-0.013;0.3;-0.002;22.57;2.269;0.0;-0.5;107.8;51.2;-3.711;2.504;-1.054;0.187
208;R;-0.2009;-0.022;3.31;223.65;-0.697;40.94;1.897;-0.026;3.7;-0.311;72.47;2.304;2.251;-0.027;3.9;-1.301;41.71;2.371;2.241;-0.016;2.0;-0.029;22.44;2.288;-0.004;0.3;106.6;47.0;-0.824;3.954;-0.081;0.83
209;NR2/NAr2;-0.1764;-0.0002;4.32;230.45;-0.709;37.69;1.908;-0.026;2.8;-0.313;69.86;2.302;2.252;-0.029;2.9;-1.3;37.75;2.368;2.251;-0.012;-1.2;-0.017;19.01;2.303;-0.001;-0.4;107.9;42.5;-0.676;2.49;-1.675;1.06
210;R;-0.1909;-0.0241;10.95;233.62;-0.701;40.14;1.914;-0.022;2.9;-0.306;73.82;2.311;2.265;-0.023;3.3;-1.271;38.75;2.373;2.266;-0.004;0.2;-0.015;18.83;2.313;0.008;-0.5;105.5;32.4;0.681;1.524;-1.147;0.677
211;Ar;-0.2048;-0.0657;2.97;228.95;-0.676;39.23;1.899;-0.023;3.9;-0.295;70.58;2.302;2.25;-0.025;4.1;-1.246;38.48;2.365;2.241;-0.008;0.9;0.023;22.61;2.288;0.0;0.7;107.6;45.6;-1.826;2.409;0.544;0.744
212;R;-0.24483;-0.08488;1.84;184.61;-0.557;28.63;1.903;-0.024;5.8;-0.204;57.53;2.284;2.242;-0.134;5.9;-1.146;35.72;2.345;2.241;0.009;3.6;0.096;14.44;2.282;0.023;0.5;109.1;65.2;-6.799;0.585;3.518;-4.76
213;R;-0.2162;-0.0568;2.49;212.72;-0.624;34.82;1.907;-0.033;4.0;-0.244;65.36;2.298;2.255;-0.072;3.4;-1.223;36.4;2.359;2.251;-0.006;2.0;0.062;14.31;2.292;0.017;-0.2;107.9;48.6;-3.376;1.061;0.536;-1.931
214;OR/OAr;-0.2329;-0.0472;5.38;201.99;-0.64;30.5;1.899;-0.041;2.5;-0.277;59.11;2.291;2.245;-0.049;2.5;-1.2;29.66;2.351;2.239;-0.02;-0.3;0.093;19.8;2.27;0.013;-1.4;109.3;47.9;-5.413;0.381;-1.105;-1.339
215;NR2/NAr2;-0.1935;-0.0424;9.41;220.05;-0.644;31.97;1.926;-0.042;2.5;-0.252;64.05;2.299;2.258;-0.042;2.7;-1.206;29.81;2.357;2.268;-0.017;-0.2;0.063;14.53;2.309;0.01;-1.3;108.2;36.2;-2.608;-0.28;-1.101;-1.453
216;R;-0.1997;-0.053;12.82;228.77;-0.642;34.65;1.933;-0.025;2.5;-0.514;69.3;2.308;2.271;-0.023;3.2;-1.198;31.41;2.365;2.305;0.003;-0.2;0.057;14.29;2.32;0.022;-1.2;105.1;26.9;0.785;-0.779;-1.394;-0.689
217;R;-0.2025;-0.0522;7.15;228.08;-0.634;35.06;1.919;-0.026;3.0;-0.259;68.55;2.308;2.264;-0.027;3.5;-1.218;35.59;2.364;2.269;-0.007;0.7;0.054;16.17;2.313;0.013;-0.8;106.8;40.2;-1.464;-0.075;0.021;-0.302
218;OR/OAr;-0.2074;-0.0003;4.24;223.6;-0.68;34.6;1.889;-0.033;2.3;-0.325;69.15;2.301;2.247;-0.039;3.4;-1.28;37.98;2.375;2.254;-0.024;-0.7;-0.054;20.94;2.285;-0.004;-0.2;107.7;40.2;-1.5;3.167;-1.57;0.463
219;OR/OAr;-0.2891;-0.0602;5.14;183.42;-0.62;26.09;1.879;-0.036;2.6;-0.195;55.22;2.276;2.233;-0.035;2.1;-1.122;32.48;2.334;2.21;-0.008;-0.5;0.191;23.47;2.233;0.023;-3.4;107.7;66.1;-9.503;-1.405;-0.797;-1.409
220;OR/OAr;-0.21342;0.00379;3.0;229.7;-0.71;36.2;1.898;-0.033;2.3;-0.333;71.45;2.304;2.25;-0.04;0.7;-1.29;34.4;2.368;2.247;-0.02;-1.4;-0.03;21.6;2.29;-0.008;-2.7;107.5;45.9;-1.644;2.629;-3.598;0.921
221;OR/OAr;-0.244;-0.0381;3.13;208.65;-0.689;33.4;1.889;-0.036;3.2;-0.268;63.28;2.29;2.244;-0.036;3.3;-1.208;40.95;2.349;2.232;-0.018;0.7;0.074;23.61;2.268;0.003;-1.1;108.3;55.4;-5.075;2.227;-0.485;-0.254
222;OR/OAr;-0.1973;0.004;4.36;233.89;-0.729;38.16;1.904;-0.038;3.7;-0.334;70.78;2.304;2.257;-0.042;3.7;-1.275;35.95;2.366;2.258;-0.021;1.2;-0.028;18.59;2.308;-0.005;-0.1;108.1;47.9;-0.587;3.813;-0.95;-0.538
223;OR/OAr;-0.2022;0.0042;7.05;229.38;-0.729;36.31;1.898;-0.035;3.4;-0.331;67.86;2.304;2.259;-0.036;3.2;-1.281;35.03;2.364;2.247;-0.019;0.8;-0.024;17.71;2.322;-0.002;-0.7;108.4;49.4;-0.987;3.066;-1.211;-0.334
224;OR/OAr;-0.2047;0.0031;4.44;230.78;-0.726;36.68;1.9;-0.038;3.3;-0.331;68.55;2.304;2.257;-0.04;3.7;-1.271;36.1;2.366;2.254;-0.022;0.9;-0.018;20.62;2.294;-0.005;-0.9;108.4;47.9;-1.281;3.598;-1.266;-0.386
225;OR/OAr;-0.1901;0.0062;9.38;240.44;-0.738;36.44;1.917;-0.04;3.0;-0.338;70.5;2.31;2.274;-0.042;3.0;-1.288;32.77;2.373;2.273;-0.027;0.4;-0.034;12.72;2.333;-0.007;-0.8;107.3;46.4;0.779;2.906;-1.916;-0.985
226;Hal;-0.2668;-0.0598;16.96;194.82;-0.617;21.3;1.898;-0.043;2.4;-0.203;53.75;2.284;2.245;-0.044;2.1;-1.099;19.37;2.336;2.275;-0.007;-2.2;0.173;15.0;2.267;0.02;-3.9;107.2;66.2;-7.714;-3.529;-1.546;-3.45
227;OR/OAr;-0.2057;0.0005;4.34;231.51;-0.726;37.18;1.9;-0.037;3.2;-0.328;68.49;2.306;2.258;-0.038;3.0;-1.277;36.29;2.364;2.249;-0.021;0.8;-0.017;19.37;2.295;-0.004;-0.7;108.0;49.7;-1.245;3.377;-1.465;-0.209
228;OR/OAr;-0.198;0.0046;4.64;237.42;-0.732;37.89;1.904;-0.037;3.3;-0.331;69.59;2.307;2.264;-0.039;3.1;-1.278;35.64;2.366;2.258;-0.021;0.6;-0.023;18.95;2.306;-0.005;-0.6;107.9;47.4;-0.533;3.39;-1.551;-0.272
229;OR/OAr;-0.2011;-0.0471;5.94;222.1;-0.66;31.2;1.894;-0.037;2.8;-0.275;55.47;2.296;2.254;-0.04;4.6;-1.2;31.81;2.35;2.233;-0.019;-0.1;0.059;19.81;2.254;0.007;-4.3;106.6;48.9;-4.385;0.767;-1.465;-2.127
230;OR/OAr;-0.2126;-0.0672;5.02;211.5;-0.669;29.44;1.891;-0.037;3.2;-0.271;59.35;2.294;2.253;-0.04;3.2;-1.165;37.07;2.34;2.232;-0.018;-0.2;0.127;20.29;2.253;0.007;-1.9;107.8;55.3;-5.531;0.693;-0.859;-1.505
231;Hal;-0.2269;-0.0732;1.83;199.94;-0.652;29.38;1.887;-0.035;2.5;-0.228;56.61;2.283;2.23;-0.04;1.8;-1.141;41.41;2.337;2.215;-0.005;-2.0;0.141;22.02;2.268;0.016;-3.2;108.9;62.2;-7.699;-0.411;-1.784;-0.29
232;OR/OAr;-0.199;-0.0408;9.73;220.44;-0.695;31.34;1.901;-0.041;2.9;-0.283;59.15;2.298;2.257;-0.045;4.5;-1.2;33.88;2.353;2.245;-0.022;0.0;0.085;16.37;2.271;0.003;-0.3;107.9;63.1;-3.702;1.617;-0.548;-2.131
233;OR/OAr;-0.195;-0.0445;5.35;223.94;-0.677;31.06;1.894;-0.034;2.9;-0.292;62.82;2.299;2.255;-0.039;3.1;-1.194;31.23;2.349;2.243;-0.018;-0.1;0.076;17.21;2.285;0.006;-1.5;108.4;53.5;-3.637;0.777;-1.123;-1.342
234;OR/OAr;-0.1775;-0.0429;5.89;227.34;-0.684;31.48;1.892;-0.037;3.1;-0.289;61.11;2.298;2.255;-0.042;2.8;-1.2;31.87;2.35;2.246;-0.021;0.0;0.082;17.11;2.274;0.001;-1.5;108.8;53.6;-3.62;1.211;-1.373;-1.466
235;OR/OAr;-0.2375;-0.0973;5.44;198.22;-0.653;27.91;1.888;-0.035;3.0;-0.249;56.85;2.286;2.249;-0.038;2.7;-1.128;43.79;2.332;2.227;-0.014;-0.6;0.17;19.05;2.25;0.014;-2.0;108.6;56.9;-7.353;-0.264;-0.517;-1.027
236;OR/OAr;-0.2021;-0.0435;3.75;224.2;-0.686;31.52;1.902;-0.045;5.5;-0.286;62.69;2.298;2.26;-0.046;5.4;-1.182;35.82;2.346;2.234;-0.026;2.7;0.064;14.9;2.295;0.001;0.4;106.5;53.9;-3.051;2.713;1.497;-3.281
237;OR/OAr;-0.1965;-0.0432;11.23;221.8;-0.684;26.58;1.908;-0.036;5.2;-0.273;60.06;2.299;2.278;-0.039;3.3;-1.187;29.76;2.35;2.252;-0.015;1.5;0.101;10.25;2.308;0.013;-2.1;106.8;68.7;-3.121;-0.059;0.205;-3.332
238;OR/OAr;-0.1913;-0.0589;3.54;227.53;-0.681;31.84;1.909;-0.039;4.6;-0.28;59.36;2.297;2.268;-0.041;5.5;-1.169;26.74;2.345;2.237;-0.013;2.9;0.134;12.55;2.258;0.012;1.1;107.5;52.1;-3.327;0.92;1.782;-3.465
239;OR/OAr;-0.1896;-0.0394;8.1;231.5;-0.669;30.69;1.9;-0.039;2.7;-0.277;61.94;2.3;2.256;-0.042;2.4;-1.167;31.88;2.344;2.251;-0.017;-0.9;0.083;14.7;2.293;0.011;-1.9;107.9;31.0;-3.256;-0.254;-1.813;-1.729
240;OR/OAr;-0.2094;-0.0044;3.18;225.18;-0.682;36.19;1.899;-0.026;3.1;-0.288;68.74;2.301;2.247;-0.027;3.4;-1.232;29.92;2.363;2.259;-0.007;0.3;0.008;15.65;2.283;0.003;-0.5;107.3;33.3;-1.571;1.192;-0.585;-0.113
241;OR/OAr;-0.2013;0.0043;3.25;227.36;-0.703;39.14;1.897;-0.033;3.4;-0.313;71.16;2.305;2.254;-0.035;3.5;-1.281;35.87;2.369;2.248;-0.018;1.3;-0.017;17.08;2.292;-0.005;-0.1;107.2;42.0;-0.73;3.375;-0.793;-0.086
242;OR/OAr;-0.2279;-0.0267;3.61;209.16;-0.668;34.45;1.895;-0.026;3.0;-0.27;65.79;2.294;2.244;-0.026;3.0;-1.223;33.99;2.356;2.235;-0.01;0.2;0.036;22.01;2.276;0.0;-0.7;108.2;47.9;-3.775;1.381;-0.346;0.523
243;OR/OAr;-0.1917;0.0014;6.38;234.09;-0.708;38.82;1.91;-0.031;2.8;-0.314;72.39;2.308;2.262;-0.032;3.1;-1.275;35.21;2.373;2.26;-0.015;0.5;-0.013;18.96;2.309;-0.002;-0.7;106.6;34.3;0.151;2.489;-1.541;0.205
244;OR/OAr;-0.1918;0.001;7.24;232.79;-0.734;40.38;1.911;-0.034;3.1;-0.345;74.1;2.313;2.269;-0.037;3.7;-1.312;40.23;2.374;2.27;-0.02;0.5;-0.022;17.47;2.298;0.0;2.7;107.0;46.5;0.871;3.954;-0.681;0.213
245;OR/OAr;-0.2011;-0.0492;3.94;232.16;-0.694;38.12;1.902;-0.03;3.2;-0.305;70.2;2.305;2.255;-0.031;3.2;-1.253;35.12;2.367;2.251;-0.014;0.5;0.016;16.35;2.295;-0.002;-0.5;107.9;41.6;-1.25;2.084;-0.792;0.146
246;OR/OAr;-0.1975;-0.0488;5.38;238.77;-0.698;38.36;1.907;-0.033;3.3;-0.315;71.29;2.309;2.262;-0.034;3.2;-1.258;35.01;2.366;2.255;-0.017;0.3;0.005;18.72;2.3;-0.004;-0.5;107.2;40.7;-0.7;2.352;-1.077;-0.088
247;OR/OAr;-0.1979;-0.039;7.49;232.3;-0.676;34.75;1.909;-0.03;2.7;-0.281;68.06;2.306;2.266;-0.031;2.9;-1.208;30.78;2.359;2.271;-0.009;-0.1;0.048;17.4;2.289;0.007;-1.0;107.2;37.7;-1.611;0.243;-1.128;-0.58
248;OR/OAr;-0.1929;-0.0616;3.12;231.5;-0.658;34.82;1.898;-0.031;6.9;-0.279;67.02;2.302;2.256;-0.032;6.4;-1.202;33.78;2.354;2.24;-0.013;3.8;0.081;19.75;2.277;0.005;3.1;108.4;44.1;-2.282;2.774;3.881;-2.034
249;OR/OAr;-0.2089;-0.0783;4.1;222.49;-0.637;32.38;1.895;-0.032;2.4;-0.244;61.94;2.297;2.252;-0.034;2.1;-1.167;33.98;2.347;2.233;-0.015;-0.4;0.112;20.08;2.265;0.004;-1.9;108.3;45.1;-4.855;-0.145;-1.197;-0.398
250;R;-0.1888;-0.0096;11.4;239.44;-0.687;38.77;1.926;-0.024;2.7;-0.302;73.46;2.313;2.271;-0.023;3.2;-1.258;33.66;2.372;2.289;-0.004;0.1;-0.02;15.95;2.331;0.006;-0.4;106.1;23.0;1.37;0.645;-1.028;0.366
251;R;-0.1917;-0.0096;4.84;239.51;-0.689;39.34;1.913;-0.027;3.5;-0.308;73.25;2.311;2.263;-0.026;3.7;-1.257;36.2;2.371;2.274;-0.011;0.6;-0.023;18.21;2.313;-0.001;0.1;106.9;33.8;0.468;2.215;-0.452;0.404
252;R;-0.1897;-0.0027;3.81;230.61;-0.705;41.17;1.911;-0.031;4.3;-0.33;74.07;2.31;2.266;-0.032;4.3;-1.324;41.69;2.375;2.257;-0.022;2.4;-0.06;19.98;2.316;-0.009;0.8;107.5;46.6;0.707;4.673;0.282;0.495
253;R;-0.2518;-0.0552;2.49;195.58;-0.635;32.07;1.896;-0.015;-0.3;-0.237;63.33;2.288;2.245;-0.012;-0.6;-1.189;37.09;2.351;2.237;0.003;-3.9;0.1;23.01;2.253;0.008;-0.8;108.9;53.3;-6.061;-1.8;-2.603;3.336
254;R;-0.183;-0.0061;18.05;241.67;-0.711;40.14;1.932;-0.025;2.9;-0.326;75.95;2.318;2.285;-0.026;3.3;-1.271;36.25;2.381;2.306;-0.004;0.1;-0.038;15.72;2.351;0.005;-0.7;105.2;32.3;2.769;1.085;-1.468;0.131
255;R;-0.1858;-0.0041;9.75;240.51;-0.685;36.45;1.918;-0.025;7.1;-0.309;71.04;2.314;2.266;-0.025;7.4;-1.273;32.41;2.374;2.279;-0.013;5.4;-0.027;14.68;2.32;0.0;4.2;107.1;21.2;1.984;3.423;4.608;-1.892
256;Ar;-0.1922;-0.0587;5.15;239.45;-0.693;39.39;1.918;-0.026;3.5;-0.32;73.01;2.314;2.273;-0.027;3.9;-1.251;37.27;2.367;2.274;-0.011;0.3;-0.009;20.45;2.317;-0.001;0.0;107.8;45.0;0.055;2.055;-0.275;0.577
257;Ar;-0.1865;-0.0535;8.99;240.68;-0.694;38.85;1.919;-0.027;3.7;-0.32;72.45;2.315;2.274;-0.029;3.7;-1.255;37.03;2.372;2.274;-0.009;1.2;-0.006;18.1;2.321;-0.001;0.2;106.6;46.4;0.604;1.98;-0.165;-0.014
258;OR/OAr;-0.1816;-0.0291;9.39;237.38;-0.695;37.69;1.928;-0.035;4.1;-0.306;71.49;2.312;2.276;-0.03;3.7;-1.272;38.05;2.37;2.269;-0.02;2.4;0.003;18.09;2.314;-0.002;0.7;107.0;38.1;0.56;2.657;0.25;-0.489
259;R;-0.1872;-0.0286;21.86;239.37;-0.694;36.3;1.931;-0.023;2.7;-0.305;72.42;2.316;2.281;-0.024;3.4;-1.242;33.4;2.372;2.303;0.003;0.1;0.003;13.36;2.341;0.014;-1.1;105.2;36.5;1.6;-0.531;-1.125;-0.607
260;Ar;-0.1881;-0.0635;5.45;236.04;-0.664;36.25;1.917;-0.025;3.5;-0.288;70.18;2.31;2.269;-0.024;3.3;-1.212;34.97;2.362;2.266;-0.007;0.1;0.041;19.11;2.308;0.006;-0.1;108.1;51.2;-1.256;0.696;-0.061;0.234
261;Ar;-0.2073;-0.0886;7.8;219.81;-0.619;29.91;1.91;-0.021;2.5;-0.227;61.69;2.299;2.263;-0.022;2.4;-1.17;35.59;2.35;2.238;-0.007;-0.4;0.123;16.64;2.288;0.013;-2.0;108.1;52.7;-4.373;-1.618;-0.303;-0.056
262;Ar;-0.174;-0.028;11.88;242.69;-0.692;38.77;1.936;-0.032;3.7;-0.304;75.98;2.313;2.28;-0.028;3.4;-1.253;39.57;2.371;2.284;-0.009;-0.2;0.003;21.07;2.322;0.002;0.1;107.4;37.4;0.973;1.789;-0.743;0.434
263;OR/OAr;-0.2181;-0.0117;3.8;212.16;-0.701;33.77;1.897;-0.031;2.8;-0.293;65.35;2.297;2.246;-0.034;2.9;-1.26;31.9;2.36;2.234;-0.012;0.7;0.025;19.74;2.277;0.001;-0.7;108.9;56.3;-3.255;2.039;-0.851;-0.015
264;OR/OAr;-0.1956;-0.0063;3.46;224.47;-0.698;35.21;1.905;-0.035;2.4;-0.291;67.23;2.299;2.251;-0.035;2.7;-1.277;32.06;2.364;2.244;-0.02;-0.3;0.009;16.96;2.3;-0.001;-0.5;108.6;46.7;-1.941;2.117;-1.536;0.023
265;OR/OAr;-0.2024;-0.0528;2.28;226.16;-0.67;35.47;1.891;-0.025;3.2;-0.28;68.04;2.301;2.247;-0.028;3.3;-1.232;33.86;2.363;2.238;-0.009;0.3;0.061;21.53;2.27;0.0;-0.3;109.3;52.4;-3.097;1.653;-0.254;0.543
266;OR/OAr;-0.178;-0.0255;6.03;221.64;-0.667;32.34;1.903;-0.034;2.9;-0.26;63.47;2.296;2.252;-0.034;2.6;-1.216;32.5;2.354;2.233;-0.012;0.3;0.065;16.37;2.282;0.005;-1.1;108.3;48.9;-3.219;0.753;-0.991;-0.789
267;OR/OAr;-0.2161;-0.0027;2.77;220.16;-0.695;35.17;1.891;-0.032;2.8;-0.291;66.82;2.297;2.241;-0.035;3.0;-1.247;30.72;2.359;2.236;-0.014;0.5;0.015;20.15;2.281;0.0;-0.4;108.9;44.8;-2.933;2.167;-0.937;-0.031
268;OR/OAr;-0.1913;-0.003;4.65;230.32;-0.71;36.84;1.904;-0.037;2.4;-0.302;69.5;2.306;2.258;-0.037;3.0;-1.299;35.15;2.369;2.249;-0.028;-0.8;0.003;14.98;2.297;-0.003;-0.3;107.9;41.7;-0.884;2.812;-1.914;-0.062
269;OR/OAr;-0.202;-0.0505;2.4;229.65;-0.658;36.32;1.889;-0.028;2.4;-0.27;67.72;2.304;2.241;-0.029;2.7;-1.228;30.12;2.362;2.234;-0.014;0.5;0.051;16.22;2.283;0.0;-0.2;108.1;36.2;-2.535;1.051;-0.756;0.075
270;OR/OAr;-0.1851;0.0056;5.07;234.22;-0.709;37.23;1.908;-0.034;2.9;-0.31;69.94;2.304;2.26;-0.035;3.1;-1.278;32.25;2.368;2.256;-0.019;0.7;-0.004;14.3;2.3;-0.002;-0.4;107.9;35.8;-0.343;2.414;-1.305;-0.348
271;NR2/NAr2;-0.1628;-0.0375;23.72;246.48;-0.679;34.79;1.933;-0.029;3.1;-0.297;71.84;2.325;2.28;-0.034;3.7;-1.271;37.09;2.379;2.294;-0.012;6.6;0.003;11.21;2.337;0.005;-1.3;105.0;55.4;2.069;1.287;0.298;-2.133
272;OR/OAr;-0.1979;-0.0597;2.9;226.13;-0.678;37.23;1.891;-0.033;3.5;-0.287;68.47;2.303;2.249;-0.035;3.5;-1.245;36.3;2.359;2.228;-0.016;1.3;0.034;21.04;2.275;0.001;-0.2;107.8;49.1;-2.671;2.546;-0.319;-0.294
273;OR/OAr;-0.1986;-0.0592;4.76;220.26;-0.704;35.0;1.894;-0.036;3.2;-0.303;66.39;2.3;2.251;-0.038;3.1;-1.241;35.96;2.356;2.242;-0.016;0.4;0.024;20.27;2.282;0.002;-1.0;108.5;52.4;-2.965;2.222;-1.1;-0.442
274;OR/OAr;-0.1922;-0.0563;6.49;227.77;-0.686;34.3;1.902;-0.037;2.9;-0.285;66.69;2.3;2.255;-0.037;3.0;-1.234;32.87;2.357;2.244;-0.018;0.6;0.031;17.59;2.293;0.001;-0.8;108.1;42.5;-2.382;1.515;-0.995;-0.777
